pos,variable,label,col_type,levels,value_labels,etiquetas,valores
1,id_hogar,id,dbl,,,NA,NA
2,id_viajes,Identificacion unica del viaje o la visita de un dia para el hogar,dbl,,,NA,NA
3,miembro,NumMie.Numero de miembro del hogar,dbl,,,NA,NA
4,id2,id2,dbl,,,NA,NA
5,i11_pr_onda,Número de Onda,dbl+lbl,,,Onda 1. Dic2011-Ene2012,1
5,i11_pr_onda,Número de Onda,dbl+lbl,,,Onda 2. Ene2012-Feb2012,2
5,i11_pr_onda,Número de Onda,dbl+lbl,,,Onda 3. Feb2012-Mzo2012,3
5,i11_pr_onda,Número de Onda,dbl+lbl,,,Onda 4. Mzo2012-Feb2012,4
5,i11_pr_onda,Número de Onda,dbl+lbl,,,Onda 5. Abr2012-May2012,5
5,i11_pr_onda,Número de Onda,dbl+lbl,,,Onda 6. May2012-Jun2012,6
5,i11_pr_onda,Número de Onda,dbl+lbl,,,Onda 7. Jun2012-Jul2012,7
5,i11_pr_onda,Número de Onda,dbl+lbl,,,Onda 8. Jul2012-Ago2012,8
5,i11_pr_onda,Número de Onda,dbl+lbl,,,Onda 9. Ago2012-Sep2012,9
5,i11_pr_onda,Número de Onda,dbl+lbl,,,Onda 10. Sep2012-Oct2012,10
5,i11_pr_onda,Número de Onda,dbl+lbl,,,Onda 11. Oct2012-Nov2012,11
5,i11_pr_onda,Número de Onda,dbl+lbl,,,Onda 12. Nov2012-Dic2012,12
6,w_adelanto,Ponderador de adelanto,dbl,,,NA,NA
7,pondera,Ponderador final,dbl,,,NA,NA
8,Mes,Mes de realización del viaje o la visita de un día,dbl,,,NA,NA
9,tipo_visitante,Viaje o Visita,dbl+lbl,,,Viaje,1
9,tipo_visitante,Viaje o Visita,dbl+lbl,,,Visita de un dia,2
10,arg_o_ext,Destino en Argentina o el Exterior,dbl+lbl,,,Argentina,1
10,arg_o_ext,Destino en Argentina o el Exterior,dbl+lbl,,,Exterior,2
11,esparcimiento_si_no,Esparcimiento Si o No,dbl+lbl,,,Si,1
11,esparcimiento_si_no,Esparcimiento Si o No,dbl+lbl,,,No,2
12,sv_si_no,Utilizacion de Segunda Vivienda en el viaje o visita,dbl+lbl,,,Si,1
12,sv_si_no,Utilizacion de Segunda Vivienda en el viaje o visita,dbl+lbl,,,No,2
13,px03_1_1,PX03.1.1.Destino: PAIS,dbl+lbl,,,Argentina,0
13,px03_1_1,PX03.1.1.Destino: PAIS,dbl+lbl,,,Bolivia,1
13,px03_1_1,PX03.1.1.Destino: PAIS,dbl+lbl,,,Brasil,2
13,px03_1_1,PX03.1.1.Destino: PAIS,dbl+lbl,,,Chile,3
13,px03_1_1,PX03.1.1.Destino: PAIS,dbl+lbl,,,Paraguay,4
13,px03_1_1,PX03.1.1.Destino: PAIS,dbl+lbl,,,Uruguay,5
13,px03_1_1,PX03.1.1.Destino: PAIS,dbl+lbl,,,Perú,6
13,px03_1_1,PX03.1.1.Destino: PAIS,dbl+lbl,,,Ecuador,7
13,px03_1_1,PX03.1.1.Destino: PAIS,dbl+lbl,,,Colombia (excepto Costa Caribe),8
13,px03_1_1,PX03.1.1.Destino: PAIS,dbl+lbl,,,Venezuela (excepto Costa Caribe),9
13,px03_1_1,PX03.1.1.Destino: PAIS,dbl+lbl,,,México (excepto Costa Caribe),10
13,px03_1_1,PX03.1.1.Destino: PAIS,dbl+lbl,,,Caribe,11
13,px03_1_1,PX03.1.1.Destino: PAIS,dbl+lbl,,,"Panamá, Costa Rica, Nicaragua, Honduras, Guatemala, Belice (excepto Costa del Caribe) y Guyanas.",12
13,px03_1_1,PX03.1.1.Destino: PAIS,dbl+lbl,,,EE. UU.,13
13,px03_1_1,PX03.1.1.Destino: PAIS,dbl+lbl,,,Canadá,14
13,px03_1_1,PX03.1.1.Destino: PAIS,dbl+lbl,,,Alemania,15
13,px03_1_1,PX03.1.1.Destino: PAIS,dbl+lbl,,,España,16
13,px03_1_1,PX03.1.1.Destino: PAIS,dbl+lbl,,,Francia,17
13,px03_1_1,PX03.1.1.Destino: PAIS,dbl+lbl,,,Gran Bretaña,18
13,px03_1_1,PX03.1.1.Destino: PAIS,dbl+lbl,,,Italia,19
13,px03_1_1,PX03.1.1.Destino: PAIS,dbl+lbl,,,Resto de Europa,20
13,px03_1_1,PX03.1.1.Destino: PAIS,dbl+lbl,,,Medio Oriente y Egipto (incluye Israel),21
13,px03_1_1,PX03.1.1.Destino: PAIS,dbl+lbl,,,Resto de Asia,22
13,px03_1_1,PX03.1.1.Destino: PAIS,dbl+lbl,,,Sudáfrica,23
13,px03_1_1,PX03.1.1.Destino: PAIS,dbl+lbl,,,Resto de África,24
13,px03_1_1,PX03.1.1.Destino: PAIS,dbl+lbl,,,Australia y Nueva Zelanda,25
